animal_id;name;breed;species;age;gender;sos;image_url;shelter
146475;Téo;Berger allemand;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/146475/teo-146475-67475419470e7.jpg;La SPA - Refuge de Pornic – Saint-Père en Retz
146325;TYSON PAA22556;Ratier;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/146325/tyson-paa22556-146325-674610c9a4f6b.jpg;La SPA - Refuge de Plaisir
121878;ETOILE;Cane Corso;Chien;adult;female;true;https://www.la-spa.fr/app/app/uploads/animals/121878/etoile-121878-66c9ce8a84443.jpg;La SPA - Refuge de Perpignan
131127;VANITY;Husky siberien;Chien;junior;female;false;https://www.la-spa.fr/app/app/uploads/animals/131127/vanity-131127-67173f650f0ec.jpg;La SPA - Refuge de Torreilles – Le Jardin de La Padrine
141329;DAX;Croisé / Autre, Berger;Chien;junior;male;true;https://www.la-spa.fr/app/app/uploads/animals/141329/dax-141329-67164b737d169.jpg;La SPA - Refuge de Morée – Jean Leriche
135364;BERETTA;Croisé / Autre, Dogue;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/135364/beretta-135364-672cde281bbaf.jpg;La SPA - Refuge de La-Roche-Sur-Yon
144502;KAWETI;Beagle, Croisé / Autre;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/144502/kaweti-144502-6734c46ec5e59.jpg;La SPA - Refuge de La-Roche-Sur-Yon
142933;Salto;Berger blanc Suisse;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/142933/salto-142933-672773a2f1891.jpg;La SPA - Refuge de Plouhinec
141864;Nuance;Berger belge Malinois;Chien;adult;female;true;https://www.la-spa.fr/app/app/uploads/animals/141864/nuance-141864-671a0be8efea2.jpg;La SPA - Refuge d'Étalondes
138347;Gaston;Berger belge Malinois;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/138347/gaston-138347-6700dc30bcfc9.jpg;La SPA - Refuge de Tilloy-Les-Mofflaines – Arras
143699;KIMBO VAA24423;Dogue;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/143699/kimbo-vaa24423-143699-6730a202769a5.jpg;La SPA - Refuge de Vaux-Le-Penil
142926;LOKI;Croisé / Autre, Boxer;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/142926/loki-142926-672519d140374.jpg;La SPA - Refuge de Briançon – Le Chazal
146857;SALOME;Hovawart;Chien;adult;female;true;https://www.la-spa.fr/app/app/uploads/animals/146857/salome-146857-674af91c153e8.jpg;La SPA - Refuge de Chilleurs-Aux-Bois – Le Moulin d'en Haut
143070;MINA;Berger belge Malinois;Chien;adult;female;false;https://www.la-spa.fr/app/app/uploads/animals/143070/mina-143070-6728faef89fbf.jpg;La SPA - Refuge de Gennevilliers – Grammont
118414;PABLO (réservé);Croisé / Autre, Dogue;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/118414/pablo-reserve-118414-6724fe2e8e63a.jpg;La SPA - Refuge de Saint-Parres-Aux-Tertres – Troyes
141646;clovis;Croisé / Autre, Anglo;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/141646/clovis-141646-672a360402438.jpg;La SPA - Refuge de Saint-Pierre-du-Mont – Mont-de-Marsan
120068;CHASE;Berger belge Malinois;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/120068/chase-120068-672f2043bf433.jpg;La SPA - Refuge d'Arry – Gerhard Cramer
142673;Patto;Croisé / Autre, Dogue;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/142673/patto-142673-6734ca1ae893b.jpg;La SPA - Maison SPA de Bordeaux
111581;SALAMI;Croisé / Autre, Labrador (retriever);Chien;senior;male;true;https://www.la-spa.fr/app/app/uploads/animals/111581/salami-111581-672b738db96ce.jpg;La SPA - Refuge de Plaisir
142016;Punk;StaffordShire bull terrier;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/142016/punk-142016-6733284179e35.jpg;La SPA - Refuge de Saône et Loire – Beaurepaire en Bresse
87648;MAKI OAA19078;Croisé / Autre, Dogue;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/87648/maki-oaa19078-87648-66f7fadb42945.jpg;La SPA - Refuge d'Orgeval
144259;ELMER;Croisé / Autre, Braque;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/144259/elmer-144259-6732357007519.jpg;La SPA - Refuge de Brugheas – Vichy
126310;Rougarou;Berger belge Tervueren;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/126310/rougarou-126310-667976d30250c.jpg;La SPA - Refuge de Chameyrat – Tulle
126129;HULK;Berger allemand;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/126129/hulk-126129-66b5ec25aab6c.jpg;La SPA - Refuge de Luynes – Tours
135450;Lothbrok;Berger belge Malinois;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/135450/lothbrok-135450-674b66163b676.jpg;La SPA - Refuge de Rennes
137752;MITSU;Dogue;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/137752/mitsu-137752-67265ce279999.jpg;La SPA - Refuge d'Arry – Gerhard Cramer
144271;TYSON;Croisé / Autre, Dogue, Staffie;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/144271/tyson-144271-67323d2491afd.jpg;La SPA - Refuge de Brugheas – Vichy
79759;MALIE;Croisé / Autre, Berger belge Malinois;Chien;adult;female;false;https://www.la-spa.fr/app/app/uploads/animals/79759/malie-79759-67418af2e4e3b.jpg;La SPA - Refuge de Brugheas – Vichy
133340;IRON CHAO12816;Berger belge Malinois;Chien;senior;male;true;https://www.la-spa.fr/app/app/uploads/animals/133340/iron-chao12816-133340-673c9378615ce.jpg;La SPA - Refuge de Chamarande
145561;PIPER;American Bully;Chien;adult;female;false;https://www.la-spa.fr/app/app/uploads/animals/145561/piper-145561-674864f3b0879.jpg;La SPA - Refuge de Laon – Des Prés de Longuevalle
72226;Phoenix CAA10940;Cane Corso;Chien;adult;male;false;https://www.la-spa.fr/app/uploads/animals/72226/phoenix-caa10940-72226-659d6d7ae744d.jpg;La SPA - Refuge de Compiègne
120711;Brak CAA11504;Berger;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/120711/brak-caa11504-120711-66316cff7071d.jpg;La SPA - Refuge de Compiègne
20166;TITI;Croisé / Autre, Epagneul breton;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/20166/titi-20166-66d8d3a6628f0.jpg;La SPA - Refuge de Thionville
132466;victor;Berger;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/132466/victor-132466-672a3010be623.jpg;La SPA - Refuge de Chameyrat – Tulle
146737;PETRUS;Labrador (retriever);Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/146737/petrus-146737-6749d26eeb96e.jpg;La SPA - Refuge de Rennes
80685;Idalgo;Rottweiler;Chien;adult;male;true;https://www.la-spa.fr/app/uploads/animals/80685/idalgo-80685-658eaf8f5e731.jpg;La SPA - Refuge de Tilloy-Les-Mofflaines – Arras
131847;ELLIOTT;Cane Corso;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/131847/elliott-131847-671e5dee6c9cb.jpg;La SPA - Refuge de Thionville
146415;Arthur;Jack Russel terrier;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/146415/arthur-146415-67471a7621715.jpg;La SPA - Refuge de Tilloy-Les-Mofflaines – Arras
144991;MALOUNE;Croisé / Autre, Berger belge Malinois;Chien;junior;female;false;https://www.la-spa.fr/app/app/uploads/animals/144991/maloune-144991-673da017f00fe.jpg;La SPA - Refuge de Morée – Jean Leriche
